Country.Name,Continent,X1970,X1980,X1990,X2000,X2010,X2015,X2019,X2022.Population,X2020.Population,X2015.Population,X2010.Population,X2000.Population,X1990.Population,X1980.Population,X1970.Population,Area..km...,Density..per.km...,Growth.Rate,World.Population.Percentage
North Macedonia,Europe,NA,NA,4699646643,3772851420,9407168702,10064515432,12547040499,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,25713,81.4218,0.9954,0.03
Mali,Africa,359772363.3,1759690812,2681912030,2954129566,10689167195,13104802016,17279566719,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,18.2178,1.0314,0.28
Malta,Europe,250721821.6,1250242108,2547163582,4069515557,9035932178,11091434435,14989415684,533286,515357,456579,418755,399212,365392,333587,315414,316,1687.6139,1.0124,0.01
Myanmar,Asia,NA,NA,NA,8905066164,49540813342,67822772707,76085852617,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,676578,80.0784,1.0071,0.68
Montenegro,Europe,NA,NA,NA,984297589.4,4142931813,4053097851,5542577965,627082,629048,633966,631044,633324,621442,589324,530268,13812,45.4012,0.9988,0.01
Mongolia,Asia,NA,NA,2560785660,1136896124,7189481824,11749620620,13996719329,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2.1727,1.0151,0.04
Mozambique,Africa,NA,NA,NA,5656473652,11104648673,15950969019,15291448212,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590,41.1302,1.0278,0.41
Mauritania,Africa,309405316.1,1047924649,1506914408,1779521110,5628882266,6166857629,7600656944,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,4.5951,1.0263,0.06
Mauritius,Africa,NA,1131788192,2653480001,4663313620,10003670690,11692287066,14048430519,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,636.9946,1.0004,0.02
Malawi,Africa,290531621.3,1237655461,1880771556,1743506531,6959655571,6373212641,7666704427,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,172.22,1.0259,0.26
Malaysia,Asia,3864170913,24488033442,44024178343,93789736842,2.55E+11,3.01E+11,3.65E+11,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,102.5934,1.0109,0.43
Namibia,Africa,NA,2422096075,2785764518,3833993703,11268186636,11272143473,12366528259,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3.1092,1.0146,0.03
New Caledonia,Oceania,358815681.9,1182457143,2529310104,2682347064,NA,NA,NA,289950,286403,283032,261426,221537,177264,148599,110982,18575,15.6097,1.0075,0
Niger,Africa,649916708.2,2508524186,3512356353,2236185390,7851191899,9685577941,12911689659,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,20.6851,1.0378,0.33
Nigeria,Africa,12545849083,64201788123,54035795388,69448756933,3.61E+11,4.87E+11,4.48E+11,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,236.5759,1.0241,2.74
Nicaragua,North America,776585681.1,2189347368,1009455484,5107329007,8758639096,12756706583,12520915291,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,53.2962,1.0143,0.09
Netherlands,Europe,38164716625,1.95E+11,3.18E+11,4.16E+11,8.47E+11,7.65E+11,9.07E+11,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850,419.6897,1.0036,0.22
Norway,Europe,12814123115,64439382896,1.20E+11,1.71E+11,4.29E+11,3.86E+11,4.03E+11,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,323802,16.7828,1.0058,0.07
